20	6	6	6	7	8	10	12	13	16	27	47	59
27	15	17	19	20	20	21	23	27	30	60	80	81
43	8	7	8	9	9	10	11	13	29	54	61	78
48	5	4	5	5	6	7	7	11	13	28	36	47
91	4	4	4	5	6	5	7	10	11	28	45	67
94	7	8	8	8	9	10	11	15	19	23	24	26
136	4	5	6	6	7	8	9	11	13	25	38	65
138	3	4	5	5	6	6	7	10	10	18	25	38
141	3	3	4	4	5	6	9	20	15	57	74	113
166	12	12	13	13	14	16	19	21	26	48	74	116
182	30	34	37	38	37	39	41	46	47	64	76	87
209	6	6	6	7	9	10	12	14	24	34	46	82
214	4	2	3	4	4	5	6	7	9	18	28	39
226	3	2	2	2	3	4	5	7	8	18	32	50
277	13	16	20	22	25	30	37	46	55	78	78	77
278	4	4	6	6	7	7	10	11	15	35	46	65
287	4	4	4	4	5	6	6	6	6	14	19	28
296	3	4	5	6	6	8	10	15	20	42	55	81
317	3	4	5	7	8	10	11	13	15	31	49	71
330	10	9	8	10	11	11	12	13	16	33	51	74
333	8	12	15	18	22	29	34	38	45	85	92	92
342	11	13	14	16	18	22	27	32	43	75	89	89
343	15	17	20	22	25	28	31	38	48	83	95	95
346	5	5	5	5	6	6	7	8	9	26	41	69
601	10	11	13	15	16	17	18	20	29	49	76	95
618	20	20	21	21	21	22	25	29	35	41	49	63
630	7	6	7	7	8	9	11	13	15	21	30	40
645	9	11	15	18	22	26	31	37	41	57	78	80
657	3	2	3	3	3	3	3	5	5	10	19	32
658	5	5	6	6	7	8	9	10	12	15	18	25
661	5	3	4	5	5	6	8	11	12	15	22	32
