20	0	1	1	2	2	3	3	4	8	10	18	23
27	2	1	2	2	2	2	3	3	4	11	20	31
43	0	1	1	1	2	2	2	2	4	8	13	25
48	0	0	1	1	1	1	1	2	2	3	4	7
91	0	0	1	1	1	1	1	2	2	6	11	16
94	0	0	1	2	2	3	3	3	6	13	19	28
136	0	0	0	1	1	1	1	1	2	4	7	12
138	0	0	0	1	1	1	1	3	3	5	7	15
141	0	0	1	2	2	2	2	3	3	8	16	25
166	3	3	3	4	5	5	7	8	10	20	35	52
182	2	2	2	3	3	4	5	6	9	21	33	47
209	0	0	1	1	1	1	2	2	0	8	17	28
214	0	1	1	2	2	2	2	3	3	7	13	16
226	0	0	0	1	1	1	1	1	2	4	8	16
277	2	2	2	3	3	4	5	5	8	17	25	41
278	0	0	1	2	1	1	2	2	3	6	10	20
287	0	1	1	1	1	1	2	2	2	6	13	20
296	0	0	0	1	1	1	1	2	2	6	11	18
317	0	0	0	2	2	3	4	4	6	12	18	21
330	0	1	1	1	1	1	2	3	3	7	14	23
333	0	0	1	1	1	1	2	2	3	8	13	23
342	0	1	1	1	1	2	2	2	3	7	12	21
343	1	1	2	2	2	2	2	3	4	10	19	32
346	0	1	1	1	1	1	1	2	3	7	10	14
